location,RF_min_split,kappa,precision,sensitivity,IoU Class 1,IoU Class 0,mIoU,accuracy,f1score,tn,fp,fn,tp
3516408,10,0.2881641565744443,0.3125948406676783,0.3491525423728813,0.1975071907957814,0.9196891191709844,0.5585981549833829,0.9212457659013924,0.3298638911128903,9585,453,384,206
3519071,10,0.1831978409523652,0.2016129032258064,0.181159420289855,0.1054852320675105,0.9847886919710124,0.5451369620192614,0.9848159289500072,0.1908396946564885,13725,99,113,25
3519501,10,0.4947156269970014,0.4761904761904761,0.5555555555555556,0.3448275862068966,0.9642184557438794,0.6545230209753881,0.9648798521256932,0.5128205128205128,512,11,8,10
3522208,10,0.1718097401145574,0.2475247524752475,0.1373626373626373,0.0968992248062015,0.9894441172473156,0.5431716710267587,0.9894560593718889,0.1766784452296819,21840,76,157,25
3522505,10,0.4051742692743683,0.4,0.4230769230769231,0.2588235294117647,0.9879816863792446,0.6234026078955046,0.988031914893617,0.411214953271028,5179,33,30,22
3523909,10,0.3343699444933242,0.6285714285714286,0.2291666666666666,0.2018348623853211,0.996154186190434,0.5989945242878776,0.9961579226285108,0.3358778625954198,22535,13,74,22
3524402,10,0.2395131019369416,0.3736559139784946,0.186744290192566,0.1422237380627558,0.9787783412510233,0.5605010396568895,0.9788527512444504,0.2490295610630039,115996,699,1816,417
3525003,50,0.0682259736515106,0.0602409638554216,0.3125,0.0531914893617021,0.8825082508250826,0.4678498700933923,0.8832786885245901,0.101010101010101,1337,156,22,10
3525904,50,0.1452368966217141,0.1006816990036706,0.3096774193548387,0.0822269807280513,0.9819612794612794,0.5320941300946654,0.9819903859082963,0.1519588444796201,116657,1715,428,192
3526407,10,0.3498408522951466,0.4072164948453608,0.4846625766871165,0.2841726618705036,0.8288907996560619,0.5565317307632828,0.8397745571658615,0.4425770308123249,964,115,84,79
3529005,50,0.0939380312682486,0.0636327023761578,0.3615560640732265,0.057204923968139,0.9445886708941568,0.5008967974311478,0.9447743467933492,0.1082191780821917,44390,2325,279,158
3529203,10,0.3071371291098637,0.2747252747252747,0.8064516129032258,0.2577319587628865,0.7491289198606271,0.5034304393117568,0.7692307692307693,0.4098360655737705,215,66,6,25
3534609,10,0.2773413897280967,0.24,0.4,0.1764705882352941,0.9527027027027029,0.5645866454689984,0.9531772575250836,0.3,564,19,9,6
3536505,10,0.33521485689108,0.3174603174603174,0.3703703703703703,0.2061855670103092,0.9866782006920416,0.5964318838511754,0.9867241379310344,0.3418803418803419,5703,43,34,20
3538709,10,0.1549016253142605,0.1978021978021978,0.1411764705882353,0.0897755610972568,0.979914706286972,0.5348451336921145,0.9799544168932092,0.1647597254004576,35615,292,438,72
3540705,10,0.2278909824874784,0.2119205298013245,0.3595505617977528,0.1538461538461538,0.9199272065514104,0.5368866801987822,0.9210762331838565,0.2666666666666666,2022,119,57,32
3541307,10,0.4180277555993483,0.3333333333333333,0.6883116883116883,0.2896174863387978,0.9311075781664016,0.6103625322525997,0.9329896907216496,0.4491525423728814,1757,106,24,53
3543303,10,0.2801980428885659,0.2916666666666667,0.3525179856115107,0.189922480620155,0.9242021276595744,0.5570623041398648,0.9255255968642356,0.3192182410423452,7645,357,270,147
3543402,50,0.1071007454124291,0.0714853057982525,0.3092783505154639,0.0616438356164383,0.9706408649158336,0.516142350266136,0.970697380944742,0.1161290322580645,90587,2338,402,180
3545803,10,0.4844337068355063,0.4772727272727273,0.5,0.3230769230769231,0.992149866190901,0.657613394633912,0.9921791681478848,0.4883720930232558,5561,23,21,21
3547304,10,0.4953076029351366,0.4044943820224719,0.7228915662650602,0.3501945525291828,0.9501492537313432,0.6501719031302631,0.951453488372093,0.5187319884726225,6366,265,69,180
3547809,10,0.4147453408255221,0.3938202860574298,0.6281783350748869,0.319373118469984,0.8625701719884149,0.5909716452291995,0.8708956853260779,0.4841285819743641,48247,5552,2135,3607
3548708,10,0.2988572186637603,0.3228370528890247,0.3748668796592119,0.2098569157392686,0.9077718885190385,0.5588144021291535,0.909977018781203,0.3469119579500657,78269,4430,3522,2112
3549904,10,0.6136317988890959,0.609251968503937,0.6495278069254984,0.4585185185185185,0.9701912490315214,0.71435488377502,0.9709251451754036,0.6287455561198578,23792,397,334,619
3550308,10,0.1972163745635338,0.2345627306756014,0.2096385542168674,0.1244808090349646,0.9526220043900532,0.5385514067125089,0.9529390154572628,0.2214013934871769,1267254,29242,33784,8961
3551900,1,-0.0161290322580645,0.0,0.0,0.0,0.9428571428571428,0.4714285714285714,0.9428571428571428,0.0,99,1,5,0
3552403,50,0.1417376340739539,0.0941530524505589,0.5069444444444444,0.0862544308782985,0.9362829914036966,0.5112687111409976,0.9366639366639368,0.1588107324147933,34091,2107,213,219
3552502,10,0.2162851239716905,0.3014084507042253,0.1959706959706959,0.1347607052896725,0.95645559992394,0.5456081526068062,0.9567489297406196,0.2375138734739178,45270,744,1317,321
3552700,10,0.4849056603773585,0.35,0.875,0.3333333333333333,0.9634464751958224,0.6483899042645779,0.964102564102564,0.5,369,13,1,7
3553401,10,0.6325471217995577,0.5714285714285714,0.7692307692307693,0.4878048780487805,0.9536167863059084,0.7207108321773443,0.955579058699101,0.6557377049180327,1727,60,24,80
3557006,50,0.10626078503671,0.0699815837937384,0.3333333333333333,0.061389337641357,0.96744550904914,0.5144174233452485,0.9675146771037182,0.1156773211567732,17266,505,76,38
3557105,10,0.3429522752497225,0.2857142857142857,0.5454545454545454,0.2307692307692307,0.9310344827586208,0.5809018567639257,0.9324324324324323,0.375,270,15,5,6
4112702,10,0.375968992248062,0.2777777777777778,0.8333333333333334,0.2631578947368421,0.8947368421052632,0.5789473684210527,0.8985507246376812,0.4166666666666667,238,26,2,10
4128104,50,0.1315559015276831,0.1136363636363636,0.5882352941176471,0.1052631578947368,0.7926829268292683,0.4489730423620026,0.7976190476190477,0.1904761904761904,325,78,7,10
4217907,1,0.5515291316318178,0.6923076923076923,0.5901639344262295,0.4675324675324675,0.8410852713178295,0.6543088694251485,0.8605442176870748,0.6371681415929203,217,16,25,36
5002704,10,0.4310585652379103,0.3989828941285252,0.5020360674810936,0.2858562437893342,0.9728890286073562,0.6293726361983452,0.9731800766283524,0.4446161772282329,77369,1300,856,863
5103403,10,0.4555683406518847,0.4522588522588522,0.6110866695996481,0.351178812970103,0.8763312611440413,0.6137550370570721,0.8840898825654924,0.5198110118351499,72739,6729,3536,5556
5108402,10,0.2960407256356909,0.284313725490196,0.3747980613893376,0.1928512053200332,0.9458086840049112,0.5693299446624722,0.9465013774104684,0.3233449477351916,16947,584,387,232
5201108,10,0.3950512351082189,0.3265625,0.6920529801324503,0.2851296043656207,0.8928425357873211,0.5889860700764709,0.8972347519121396,0.4437367303609342,4366,431,93,209
5208707,10,0.1411928895274244,0.2857142857142857,0.0973451327433628,0.0782918149466192,0.9894315909740076,0.5338617029603133,0.9894410697541686,0.1452145214521452,48496,110,408,44
5215231,1,0.6551831321556235,0.7029702970297029,0.6761904761904762,0.5259259259259259,0.9339525283797728,0.7299392271528494,0.9384615384615383,0.6893203883495146,905,30,34,71
5221858,10,0.4893258327386646,0.3753086419753086,0.8128342245989305,0.3454545454545454,0.9451428571428572,0.6452987012987013,0.9466864124398372,0.5135135135135135,4962,253,35,152
5300108,10,0.3187161625326636,0.4339784946236559,0.258850692662904,0.1935174530111238,0.9881745498314064,0.5908460014212652,0.98820801014027,0.3242808934597461,1756920,6580,14445,5045
